model,kind,pr_auc,average_precision,roc_auc,precision,recall,f1,mcc,brier,ece,threshold,tn,fp,fn,tp,fp_per_million,target_fp_per_million,allowed_fp
lamar_zero_shot_mean,fp_workpoint,0.0032306787119428765,0.003316272131404007,0.768771331496786,0.0,0.0,0.0,-0.001,0.000996884123200021,6.849111229922412e-05,0.00876470853578848,164835,165,165,0,1000.0,1000.0,165.0
lamar_zero_shot_mean,fixed_threshold,0.0032306787119428765,0.003316272131404007,0.768771331496786,0.0,0.0,0.0,-0.0006370396956461013,0.000996884123200021,6.849111229922412e-05,0.01,164933,67,165,0,406.06060606060606,,
lamar_zero_shot_mean,fixed_threshold,0.0032306787119428765,0.003316272131404007,0.768771331496786,0.0,0.0,0.0,0.0,0.000996884123200021,6.849111229922412e-05,0.05,165000,0,165,0,0.0,,
lamar_zero_shot_mean,fixed_threshold,0.0032306787119428765,0.003316272131404007,0.768771331496786,0.0,0.0,0.0,0.0,0.000996884123200021,6.849111229922412e-05,0.1,165000,0,165,0,0.0,,
lamar_zero_shot_mean,fixed_threshold,0.0032306787119428765,0.003316272131404007,0.768771331496786,0.0,0.0,0.0,0.0,0.000996884123200021,6.849111229922412e-05,0.2,165000,0,165,0,0.0,,
lamar_zero_shot_mean,fixed_threshold,0.0032306787119428765,0.003316272131404007,0.768771331496786,0.0,0.0,0.0,0.0,0.000996884123200021,6.849111229922412e-05,0.5,165000,0,165,0,0.0,,
lamar_linear_probe_center,fp_workpoint,0.045301285814513856,0.048428066830534404,0.92535072543618,0.5,0.006060606060606061,0.011976047904191617,0.05496599689875182,0.0009780431792986463,6.731685047162275e-05,0.5157590058473634,164999,1,164,1,6.0606060606060606,10.0,1.0
lamar_linear_probe_center,fp_workpoint,0.045301285814513856,0.048428066830534404,0.92535072543618,0.2727272727272727,0.01818181818181818,0.03409090909090909,0.07019734688949218,0.0009780431792986463,6.731685047162275e-05,0.33633403228213854,164992,8,162,3,48.484848484848484,50.0,8.0
lamar_linear_probe_center,fp_workpoint,0.045301285814513856,0.048428066830534404,0.92535072543618,0.23809523809523808,0.030303030303030304,0.053763440860215055,0.08463246426170057,0.0009780431792986463,6.731685047162275e-05,0.24570427829263322,164984,16,160,5,96.96969696969697,100.0,16.0
lamar_linear_probe_center,fp_workpoint,0.045301285814513856,0.048428066830534404,0.92535072543618,0.1368421052631579,0.07878787878787878,0.1,0.1031571658829132,0.0009780431792986463,6.731685047162275e-05,0.09360072660519662,164918,82,152,13,496.969696969697,500.0,82.0
lamar_linear_probe_center,fp_workpoint,0.045301285814513856,0.048428066830534404,0.92535072543618,0.10810810810810811,0.12121212121212122,0.11428571428571428,0.1135352422571241,0.0009780431792986463,6.731685047162275e-05,0.06376315672542383,164835,165,145,20,1000.0,1000.0,165.0
lamar_linear_probe_center,fixed_threshold,0.045301285814513856,0.048428066830534404,0.92535072543618,0.030911901081916538,0.48484848484848486,0.05811841627315656,0.11946623612352648,0.0009780431792986463,6.731685047162275e-05,0.01,162492,2508,85,80,15200.0,,
lamar_linear_probe_center,fixed_threshold,0.045301285814513856,0.048428066830534404,0.92535072543618,0.08389261744966443,0.15151515151515152,0.1079913606911447,0.11155689787956176,0.0009780431792986463,6.731685047162275e-05,0.05,164727,273,140,25,1654.5454545454545,,
lamar_linear_probe_center,fixed_threshold,0.045301285814513856,0.048428066830534404,0.92535072543618,0.14606741573033707,0.07878787878787878,0.10236220472440945,0.10662522917032768,0.0009780431792986463,6.731685047162275e-05,0.1,164924,76,152,13,460.6060606060606,,
lamar_linear_probe_center,fixed_threshold,0.045301285814513856,0.048428066830534404,0.92535072543618,0.16129032258064516,0.030303030303030304,0.05102040816326531,0.0695195069939447,0.0009780431792986463,6.731685047162275e-05,0.2,164974,26,160,5,157.57575757575756,,
lamar_linear_probe_center,fixed_threshold,0.045301285814513856,0.048428066830534404,0.92535072543618,0.3333333333333333,0.006060606060606061,0.011904761904761904,0.044834759791137005,0.0009780431792986463,6.731685047162275e-05,0.5,164998,2,164,1,12.121212121212121,,
lamar_linear_probe_cls,fp_workpoint,0.014849861698263259,0.005296509085721553,0.79827072543618,0.0,0.0,0.0,0.0,0.000995362193041801,2.168404344971009e-19,0.02173913043478261,165000,0,165,0,0.0,10.0,1.0
lamar_linear_probe_cls,fp_workpoint,0.014849861698263259,0.005296509085721553,0.79827072543618,0.0,0.0,0.0,0.0,0.000995362193041801,2.168404344971009e-19,0.02173913043478261,165000,0,165,0,0.0,50.0,8.0
lamar_linear_probe_cls,fp_workpoint,0.014849861698263259,0.005296509085721553,0.79827072543618,0.0,0.0,0.0,0.0,0.000995362193041801,2.168404344971009e-19,0.02173913043478261,165000,0,165,0,0.0,100.0,16.0
